source;target
0;855
0;2172
0;9968
0;14733
0;16345
0;17752
0;19358
3038;855
8287;855
855;8699
855;9287
855;9840
10784;855
15700;855
19800;855
20244;855
21750;855
22352;855
2172;713
15699;2172
1276;2172
2172;9321
2172;6208
10013;2172
10478;2172
16071;2172
16670;2172
18313;2172
18488;2172
15152;9968
7253;9968
21845;9968
9160;9968
24341;9968
16073;9968
13522;9968
5469;9968
1320;14733
14733;403
14733;22795
10236;14733
14733;2106
14733;24199
14733;20607
16345;18087
16345;17697
16345;9320
13338;16345
17752;6359
17752;4976
11582;17752
17752;9221
17752;23087
1259;19358
19358;7884
19358;8593
19358;4047
19358;6199
19358;21406
1;689
1;1541
1;2998
1;3143
1;9937
1;16724
1;17310
1;20124
1;20559
1;21394
17775;689
120;689
1713;689
2915;689
6342;689
689;9587
10276;689
11784;689
15242;689
20218;689
1541;2522
1146;1541
1541;6343
1541;4717
11536;2998
12612;2998
2998;4003
2998;9196
17284;2998
22947;2998
17775;3143
20010;3143
3143;7903
17842;3143
3143;5832
3143;4578
11706;3143
3058;3143
10019;3143
10315;3143
23242;9937
4380;9937
2614;9937
24403;9937
23288;9937
15056;9937
22428;9937
13545;9937
13197;9937
16170;16724
1094;16724
1147;16724
16724;4333
12412;16724
16724;4169
16724;5379
14041;17310
17310;460
17310;8863
17310;18842
17310;2427
17310;20457
20124;9035
15381;20124
20124;21091
20124;8663
19627;20559
1045;20559
19346;20559
20559;5817
20559;21853
12436;20559
10838;20559
20559;21849
21394;6491
21394;4286
18213;21394
11348;2
12276;2
16113;2
17188;2
2;22040
2;23636
2;23644
11348;12848
10291;11348
10055;11348
10169;11348
11348;4962
11348;2456
11348;6591
11348;13495
12276;12502
12276;9061
12276;8149
10060;12276
12276;9863
12276;23482
16113;21943
12260;16113
16113;24243
16113;16326
15018;17188
14221;17188
17188;242
17188;2512
14371;17188
11758;17188
17188;4426
10188;17188
14642;22040
22040;9315
12130;22040
19065;22040
20628;22040
22040;4061
22040;8936
12101;22040
23636;2582
19679;23636
23524;23636
23636;7411
15215;23636
23644;4755
23644;7093
13959;23644
23644;4099
14397;23644
10171;23644
21635;23644
1853;3
3;5533
10657;3
11418;3
11593;3
16193;3
18515;3
24026;3
1853;3764
1853;21828
18383;1853
1853;19486
1853;7377
17709;1853
1853;7121
1853;7170
1853;18982
1853;20546
1853;20630
15537;5533
3383;5533
14773;5533
14383;5533
17494;5533
20138;5533
24186;5533
10657;22127
10657;22353
10657;13873
10657;16174
10657;16461
10657;5282
10657;12190
10657;6543
11418;24192
11180;11418
11418;20914
11418;23794
11418;9580
11418;21696
11593;9548
11593;17448
11593;24159
11593;12813
11593;13560
11593;19575
11555;11593
11593;7910
16193;3531
16193;9441
11301;16193
16193;21470
16193;17673
16193;8023
16193;8874
16193;5454
14155;16193
18515;4711
18515;3794
18515;7262
18515;20692
18515;21338
18515;3671
18515;18724
17867;18515
23615;24026
15142;24026
24026;7720
24026;9398
1355;4
1685;4
4;4278
4;8159
4;9312
12382;4
19638;4
1355;826
1355;1426
1355;7458
11736;1355
12091;1355
12761;1355
1355;13859
1355;14292
1355;14625
1355;21407
1685;9178
1685;21892
1685;21141
1685;3953
16299;1685
2420;4278
21896;4278
4278;6918
20164;4278
4278;7624
20177;4278
10918;4278
4278;4570
4278;8545
19158;4278
16777;4278
180;8159
7206;8159
12487;8159
17432;8159
4159;8159
2818;8159
22497;8159
4286;8159
13985;8159
10325;8159
3176;9312
6935;9312
11666;9312
20686;9312
11020;9312
18924;9312
8849;9312
18141;9312
20209;9312
11343;9312
22956;9312
12382;6143
12382;6163
12382;612
12382;1736
11933;12382
19638;607
13477;19638
17653;19638
19638;4977
19638;20389
16014;19638
19638;24281
19638;5916
38;5
4096;5
5;7632
13201;5
15372;5
15670;5
2599;38
38;7293
38;7783
10913;38
11429;38
13515;38
19778;38
1524;4096
4096;7164
3459;4096
14136;4096
15230;4096
21929;4096
16974;7632
13441;7632
7632;9121
1707;7632
16406;7632
3386;7632
7632;9995
4510;7632
15095;7632
13201;14580
13201;17541
13201;17445
13201;14348
13201;23058
12909;13201
13201;19531
13201;21221
13201;24147
13743;15372
15174;15372
15372;4923
11189;15372
15670;18219
10411;15670
15670;8637
15408;15670
15670;22991
1401;6
3134;6
11633;6
12907;6
14335;6
14770;6
15605;6
15763;6
16481;6
17020;6
18231;6
18989;6
22727;6
23295;6
23548;6
1401;7168
18743;3134
11407;3134
12125;3134
15964;3134
2358;3134
3134;4875
11633;5681
11633;542
11633;15491
10931;11633
11633;22311
11633;13719
11633;18275
11633;23153
11633;23581
11633;13637
11633;6175
12907;17974
12907;4922
12907;7044
12907;21527
12907;7357
14335;2252
14335;7667
14335;8207
10995;14335
13624;14335
14335;22641
13370;14770
14770;18425
11387;14770
14770;3711
14770;18109
15605;31
15605;3870
15605;18642
15605;18565
15605;5310
15605;21549
15763;4549
15763;7233
15763;24043
15763;18780
15763;17617
16481;6120
16481;5008
16481;5676
16481;19268
16481;23061
16481;20701
16481;8094
15867;16481
16481;24171
16481;6962
13495;16481
16759;17020
17020;20222
17020;725
17020;24330
12966;17020
17020;18892
17020;6763
17020;7836
17020;6525
16155;17020
18231;21938
18231;22454
18231;22412
15983;18231
18231;5937
18989;8879
11531;18989
18989;273
15797;18989
18989;3361
18989;20336
18989;19089
14164;18989
18989;19040
18989;23333
10913;22727
22727;9168
11690;22727
13598;22727
23295;23849
23295;6113
23295;440
1713;23295
23295;5411
10750;23295
14;23548
22575;23548
23548;8749
18736;23548
22714;23548
10500;23548
1872;7
4482;7
7;9319
7;9845
12481;7
24262;7
13064;1872
1872;1928
1872;2157
1872;6350
1872;24451
14493;4482
14121;4482
18157;4482
19234;4482
2044;4482
12953;4482
13523;4482
17975;4482
11982;9319
454;9319
3129;9319
21407;9319
20017;9319
18414;9319
12106;9319
7045;9319
17916;9845
11321;9845
13976;9845
4724;9845
22358;9845
6122;9845
22381;9845
12481;20352
12481;20504
12481;15834
12481;18294
12481;20349
12481;14559
12481;8522
12481;18059
23209;24262
24262;2800
24262;2859
10446;24262
24262;9734
1908;24262
24262;9386
10751;24262
14874;24262
15901;24262
14860;24262
15752;24262
8;9328
