source;target
64674;67222
64674;68174
64674;69623
64674;70747
64674;72973
64674;73930
64674;74577
66558;68174
68174;69704
69623;74648
69623;75432
67499;69623
69623;75086
69018;69623
67182;70747
70747;71097
70747;70959
67040;70747
65865;70747
68368;72973
64729;72973
65190;72973
66792;72973
72973;74751
66170;72973
72874;73930
64883;73930
73930;75029
71230;73930
69358;74577
66303;74577
66776;74577
74362;74577
73877;74577
64675;65220
64675;68375
64675;72236
64675;73706
64675;74250
64675;75352
65220;71892
65220;69546
65220;68177
65220;72516
65220;75256
68375;75038
68035;68375
68375;69295
68375;73316
67374;68375
66505;68375
66650;72236
72236;72270
68271;72236
67522;72236
69428;73706
69360;73706
73706;73966
73706;74494
65170;74250
65515;74250
65645;74250
66536;74250
66768;74250
67568;74250
69806;75352
65733;75352
74692;75352
70744;75352
67928;75352
71092;75352
64676;66651
64676;69893
66651;67739
66651;74364
66651;67471
65976;69893
69893;73198
69585;69893
69893;71052
64677;65656
64677;65856
64677;72702
64677;73537
64929;65656
65305;65656
65656;69147
65656;65831
65656;66171
65656;69935
65656;71005
65856;69073
65506;65856
65856;71549
65856;69534
65856;73470
72551;72702
65081;72702
66347;72702
68811;72702
71261;72702
66694;73537
69933;73537
64678;64746
64678;64869
64678;65047
64678;67181
64678;71465
64678;71879
64678;74139
64746;66051
64746;66457
64746;68428
64746;72134
64746;73027
64730;64869
64869;68977
64869;71023
64869;71452
64869;73233
64869;74118
64786;65047
65047;70203
65047;73990
65047;74594
67181;72733
67181;67218
67181;70512
67181;70025
71465;73315
68430;71465
66143;71465
68721;71465
70576;71465
71080;71465
68987;71879
71240;71879
71879;73885
69836;74139
69903;74139
67569;74139
69712;74139
72047;74139
64679;66328
64679;68465
64679;68997
64679;70139
64679;71158
64679;72990
64679;74172
66328;72855
66328;67807
66328;66917
66328;68721
66328;74270
68465;73802
68151;68465
66196;68465
68465;70755
66860;68997
68997;73357
68997;72552
70139;70904
70139;73688
66205;70139
68132;70139
69913;70139
70139;74056
68963;71158
71158;71980
71158;73006
69714;72990
71265;72990
72990;74792
69079;74172
69083;74172
69960;74172
70629;74172
70134;74172
64680;65258
64680;66636
64680;69786
64680;70045
64680;70634
65258;69444
65258;71524
65258;74470
66636;72896
66636;68308
65100;66636
66636;73198
66636;67667
66636;68838
66636;71265
69786;73278
69786;72288
69469;69786
69269;69786
68996;70045
66114;70045
65654;70045
70045;73707
66290;70634
70634;71721
70634;73295
70259;70634
64681;65924
64681;68390
64681;68504
65924;68547
65198;65924
65659;65924
65924;71287
65924;73700
65924;74617
67229;68390
68390;73853
68504;75321
68504;71542
68504;74284
68504;74810
64682;66083
64682;68077
64682;70850
64682;70937
64682;73232
64682;74269
66083;68454
66083;67283
66083;72786
66083;75148
68077;69611
68077;70534
70850;74413
70850;71089
70850;73461
70937;75163
70937;74938
70937;72870
69709;70937
73232;73856
68138;73232
64895;74269
65288;74269
72045;74269
64683;66053
64683;67439
64683;69401
64683;71386
64683;71858
64683;74344
64683;74535
64683;74744
66053;72853
65648;66053
65305;66053
66053;68940
67439;71547
67439;75232
67439;73688
66573;67439
67439;68607
67439;73570
69401;69540
69401;72201
69401;72974
71386;73559
67716;71386
71386;74253
70830;71386
71245;71386
71858;75402
69981;71858
64752;74344
66767;74344
65396;74344
66196;74344
74344;75266
74535;74745
66622;74535
68126;74535
67195;74744
66637;74744
67462;74744
64684;74804
64684;75097
64875;74804
66837;74804
69519;74804
65486;74804
69634;74804
74385;74804
67782;74804
74803;75097
66949;75097
69255;75097
64685;68610
64685;69215
64685;70070
64685;71602
69215;71460
69215;69728
69215;70343
65570;69215
70070;70610
70070;74358
68079;70070
66198;71602
64686;66530
64686;69598
64686;72062
66530;68539
66530;70602
66530;71001
66530;70873
66530;75133
64849;69598
69405;69598
66169;69598
65894;69598
66004;69598
69373;69598
69598;75068
69168;72062
72062;74089
66694;72062
68061;72062
69600;72062
72062;72169
64687;65528
64687;66445
64687;66744
64687;68041
64687;68116
65528;75130
65528;65539
65528;67155
65528;68267
65528;69639
65528;70761
65528;73086
66445;67087
66445;68009
66178;66445
66445;67339
66445;69521
66445;73274
66744;67990
66744;73137
66744;70192
65159;66744
66744;73924
66744;68655
68041;75026
68041;69235
68041;71446
68041;75173
68116;73246
66661;68116
67440;68116
68116;73701
68116;71190
64688;65093
64688;66845
64688;67770
64688;67955
64688;68895
64688;72605
64688;74758
65093;71236
65093;71882
65093;73429
65093;74454
65314;66845
65142;66845
66845;68104
66845;66914
66845;70341
66954;67770
65157;67770
65930;67770
67770;71004
67770;73317
67770;67911
67770;71391
67770;68461
67770;69148
67770;73640
65939;67955
67955;70723
67656;67955
67955;68195
67955;71266
68895;69963
68895;74711
68895;75068
64735;72605
64927;72605
65151;72605
70889;72605
65707;72605
66687;72605
69795;72605
72605;72652
68779;74758
64836;74758
66246;74758
66606;74758
66189;74758
67470;74758
68147;74758
73414;74758
68602;74758
64689;68410
64689;70572
64689;75085
68410;72479
65940;68410
68410;71665
68410;73192
69123;70572
65506;70572
70572;72053
70572;71152
70572;71442
70572;71680
70572;70975
70572;73452
70332;70572
65876;75085
66016;75085
70625;75085
64690;65013
64690;67889
64690;73616
64690;74283
65013;65403
65013;70838
67889;74474
65932;73616
70653;73616
65564;73616
65644;73616
65688;73616
70979;73616
65493;74283
66311;74283
69246;74283
66146;74283
69882;74283
72030;74283
68047;74283
64691;66175
64691;66811
64742;66175
66175;71299
66175;69632
66091;66175
66175;66606
66175;70248
65024;66811
66811;68693
66811;72911
66811;73664
64692;66604
64692;68803
64692;71557
64692;74044
64692;74391
66604;67338
67912;68803
68803;74373
68803;73788
68803;72429
67177;68803
67311;68803
68803;69694
65725;71557
71557;71752
70498;74044
72477;74044
65859;74044
69448;74044
74044;74526
72567;74044
65169;74391
73781;74391
68990;74391
71191;74391
70638;74391
64693;66822
64693;75309
66822;68317
65669;66822
65704;66822
66822;70205
66822;70303
71782;75309
71292;75309
66038;75309
71093;75309
64694;69860
64694;74451
64908;69860
69052;69860
69860;71848
64997;74451
66835;74451
71343;74451
64695;67687
64695;67688
64695;71182
64695;71985
64695;72838
64695;74363
67687;74588
67456;67687
67687;73829
67687;75396
67688;70032
67688;72013
71182;73800
71182;72829
71182;73964
67769;71182
66512;71985
67287;71985
65393;71985
71985;74497
67628;71985
71985;72821
71985;75111
69402;71985
68674;72838
66632;72838
72838;74647
66443;74363
64807;74363
71659;74363
68804;74363
74214;74363
64696;66405
64696;68424
64696;70907
64696;74951
64696;75223
66405;68855
66405;69394
66405;72910
66405;73657
64887;68424
68424;73098
65355;68424
68424;69545
68424;75166
70907;73434
66796;70907
69419;70907
65284;74951
69425;74951
73072;74951
70958;74951
68248;74951
69571;75223
64697;64752
64697;64782
64697;66633
64697;67854
64697;67895
64697;72726
64752;65205
64752;65513
64752;66718
64752;67877
64752;69714
64752;69838
64752;71031
64752;73515
64752;74961
64752;75410
64782;65316
64782;66153
64782;67646
64782;69728
64782;71087
64782;72967
64782;75044
65948;66633
66633;75390
66633;70049
66633;68246
66633;68274
66633;71695
67854;70696
67854;73347
67558;67854
65910;67854
67854;74925
67854;70508
67854;70774
67854;72637
67895;68947
67895;72849
65471;67895
67895;69774
67895;69641
67895;71284
67895;68482
67895;67948
67895;70016
67895;70361
67895;71734
67895;72225
67895;73865
70949;72726
65090;72726
72726;74884
70062;72726
64698;65604
64698;66319
64698;68208
64698;68888
64698;69211
64698;69839
64698;70585
64698;71014
64698;72448
64832;66319
66319;73091
68208;72501
68208;69799
68208;68896
68208;69873
68208;70552
68888;71913
64822;69211
69211;75211
69211;74366
68352;69211
69211;72568
69211;70162
64763;69839
66814;69839
65259;69839
69839;70741
69706;69839
69839;74390
69839;73371
69182;69839
68153;69839
70585;71236
68618;70585
70585;74678
70585;73279
70435;70585
69140;70585
68972;70585
69721;70585
71014;74812
72448;74110
68153;72448
72448;73384
72448;72458
64699;68875
64699;70320
64699;75274
66132;68875
64934;68875
68875;69830
67829;68875
70320;74586
74669;75274
64700;68016
64700;68070
64700;68913
64700;71295
64700;72031
64700;72447
68016;72965
65441;68016
68016;70113
68016;70694
68016;73369
68016;70534
68070;68907
68913;69607
65747;68913
68772;68913
68913;75381
66332;68913
68913;74854
68913;74682
67873;68913
68913;72280
68913;73526
71295;71601
70538;71295
72031;74797
67963;72031
69353;72031
66110;72031
72031;72806
72031;74091
70145;72031
67585;72031
67662;72031
67992;72031
71954;72031
70968;72031
71124;72447
69923;72447
72447;73735
72447;75069
64701;66880
64701;71062
64701;71711
66507;66880
65731;66880
66880;71648
66880;67916
66880;73097
66751;66880
71062;73137
71062;74052
68501;71062
67389;71062
65776;71062
70637;71062
71062;75403
70259;71062
71062;73077
68431;71062
67843;71711
66788;71711
71711;72695
69080;71711
64702;69124
64702;70119
64702;72634
64702;73557
69124;73311
70119;72572
67171;70119
69171;70119
67680;72634
72634;72986
71735;72634
73061;73557
65955;73557
73557;74559
64703;66544
64703;67067
64703;74034
66544;70603
65695;66544
65494;66544
66544;69218
66544;67866
66544;70545
66544;75155
67067;73646
64814;74034
66774;74034
70366;74034
69290;74034
73843;74034
64704;70412
64704;71809
64704;72534
64704;73786
64704;74443
65284;70412
70412;74666
70013;70412
69530;70412
70264;70412
70412;72559
69007;70412
69287;71809
71809;72781
71809;74060
71809;73162
71809;72953
70577;72534
72313;72534
65945;73786
67534;73786
69278;73786
64705;65386
64705;67447
64705;71360
65386;72880
65386;67894
67447;73903
66956;67447
67447;69385
67447;75229
67447;71624
70556;71360
68581;71360
68626;71360
70960;71360
65991;71360
64706;65612
64706;66031
64706;70996
64706;73463
64706;74775
65612;69168
65612;68327
65612;66956
65612;72920
66031;75001
66031;70218
66031;73604
