source;target;weight
fringe;festival;1
fringe;toronto;1
bbcglasto;dirençözüm;3583
bbcglasto;vancouver;3581
bbcglasto;elnumerouno5;3583
bbcglasto;iwishicould;3584
bbcglasto;cfl;3585
bbcglasto;tgif;3581
bbcglasto;yeg;3583
bbcglasto;ihatepeoplethat;3584
bbcglasto;mileyworldtour;3583
bbcglasto;chic;3607
bbcglasto;whoneedsmud;1
bbcglasto;r4today;147
bbcglasto;nowplaying;44
bbcglasto;6hobbs;33
bbcglasto;bowie;1
bbcglasto;japan;1
bbcglasto;business;3
bbcglasto;socialmedia;1
bbcglasto;tourdefrance;3
bbcglasto;silverstone;5
bbcglasto;so;2
bbcglasto;f1;7
bbcglasto;satchatuk;2
bbcglasto;bucketlist;2
bbcglasto;suckitandsee;1
bbcglasto;glastonbury13;13
bbcglasto;merlintheatre;1
bbcglasto;easyroutehome;1
bbcglasto;fromefestival;1
bbcglasto;tdf;4
bbcglasto;witchinghour;1
bbcglasto;6music;3
bbcglasto;articmonkeys;1
bbcglasto;sheffieldissuper;3
bbcglasto;sheffield;8
bbcglasto;arcticmonkeys;25
bbcglasto;alltheyoungdudeswithwinterfuelallowance;1
bbcglasto;sheff;6
bbcglasto;elvis;2
bbcglasto;glasto;205
bbcglasto;fail;2
bbcglasto;bigbikeride;1
bbcglasto;lions;3
bbcglasto;motogp;4
bbcglasto;bbc2;23
bbcglasto;badgercull;5
bbcglasto;favourites;1
bbcglasto;dreary;2
bbcglasto;am;3
bbcglasto;rehashedgag;1
bbcglasto;pachsurf;1
bbcglasto;payday;1
bbcglasto;wimbledon;7
bbcglasto;dayoff;1
bbcglasto;lionsrugby;1
bbcglasto;cunt;3
bbcglasto;fifa;3
bbcglasto;disableddog;2
bbcglasto;woof;2
bbcglasto;immense;1
bbcglasto;croissantneuf;1
bbcglasto;steve;2
bbcglasto;seasick;2
bbcglasto;nbury;3
bbcglasto;amazing;21
bbcglasto;glastofrommysofa;2
bbcglasto;kttunstall;2
bbcglasto;portishead;1
bbcglasto;cretins;1
bbcglasto;dinosaurjr;2
bbcglasto;hmhb;1
bbcglasto;bollocks;1
bbcglasto;mileskane;1
bbcglasto;bigbangtheory;1
bbcglasto;wearefamily;1
bbcglasto;bbcthree;20
bbcglasto;hitmaker;1
bbcglasto;hungover;3
bbcglasto;rollingsstones;2
