"source;target"
fringe;toronto
fringe;festival
elnumerouno5;iwishicould
elnumerouno5;bbcglasto
elnumerouno5;chic
elnumerouno5;cfl
elnumerouno5;tgif
elnumerouno5;dirençözüm
elnumerouno5;vancouver
elnumerouno5;ihatepeoplethat
elnumerouno5;mileyworldtour
elnumerouno5;yeg
glasto;arcticmonkeys
glasto;propermusic
glasto;glastonbury
glasto;festival
glasto;belieber
glasto;directioner
glasto;mobilityroadshow
glasto;latetweet
glasto;ironic
glasto;goat
glasto;tameimpala
glasto;gardenbury
glasto;r4today
glasto;bbc
glasto;gaypride
glasto;stonehenge
glasto;wimbledon
glasto;f1qualifying
glasto;youththeatre
glasto;bbcglasto
glasto;family
glasto;bristol
glasto;rollingstones
glasto;hattoncountryworld
glasto;arctic
glasto;front
glasto;brrrr
glasto;ohyes
glasto;radio4
glasto;lattitude
glasto;jakebugg
glasto;klf4glastonbury2014
glasto;klf
glasto;winmbledon
glasto;glastofest
glasto;longwaydown
glasto;radio6
glasto;seasicksteve
glasto;foals
glasto;muddywaters
glasto;bbcf1
glasto;motogp
glasto;jagger
glasto;electricpicnic
glasto;not
glasto;bigfan
glasto;goingtotakemycombeverywhere
glasto;mancrushonalexturner
glasto;mickjagger
glasto;nbury
glasto;liveshoplocal
glasto;endurance
glasto;shameless
glasto;shangriheaven
glasto;winning
glasto;mardybum
glasto;ciderman
glasto;rocknroll
glasto;ugh
glasto;smday
glasto;smdcork
glasto;probation
glasto;discotogs
glasto;weekendishere
glasto;hoxtonrocks
glasto;notclever
glasto;silverstone
glasto;pumpupthevolume
glasto;excellent
glasto;portishead
glasto;canada
glasto;ilovefestivaltents
glasto;lions
glasto;glastonbury2013
glasto;futura2000
glasto;catchup
glasto;bed
glasto;camden
glasto;westholts
glasto;lights
glasto;nffc
glasto;crazy
glasto;purplerain
glasto;compromise
glasto;irishopen
glasto;theguardian
glasto;micksbackgarden
glasto;yurtalert
glasto;twoweeksago
glasto;starstruck
glasto;waitnooasis
glasto;bestbandintheworld
glasto;greatband
glasto;classact
glasto;mainstage
glasto;festivals
glasto;hayfever
glasto;seasick
glasto;axelsyoungerbrother
glasto;peopleschoice
glasto;dance
glasto;stones
glasto;paulweller
glasto;loner
glasto;bastille
glasto;tiredygirl
glasto;onportobello
glasto;buddies
glasto;newyorkpride
glasto;londonpride
glasto;rockon
glasto;badger
glasto;hellno
glasto;beashamed
glasto;ticketwasted
glasto;justlikeoldtimes
glasto;smashed
glasto;altj
glasto;s
glasto;elviscostello
glasto;fulsfest
glasto;yoga
glasto;mugsinwellies
glasto;nefood
glasto;glastofacts
glasto;footstomp
glasto;corporatebollocks
glasto;twat
glasto;compliment
glasto;middleaged
glasto;twisto
glasto;dustyspringfield
glasto;yourface
glasto;whyseveryoneeatingallthechemistryseteverynighttheyareawreckandcantwalk
glasto;isleofw
glasto;jealous
glasto;wishiwasthere
glasto;sourtimes
glasto;purps
glasto;purpleaki
glasto;trollolo
glasto;pumpup
glasto;storify
glasto;bluesky
glasto;sunny
glasto;keighley
glasto;beatthestreet
glasto;dontmindifido
glasto;festivallove
glasto;pompeii
glasto;4weekstogo
glasto;perfect
glasto;sherlocksecrets
glasto;se4
glasto;cleverman
glasto;thetongueglasto2013
glasto;imsorryifmyboobspoppedout
glasto;losingyou
glasto;longweekalmostover
glasto;loveinglife
glasto;bristolgaypride
glasto;glastofe
glasto;wishwecouldbethere
glasto;missingout
glasto;summer
glasto;shangrila
glasto;madjels
glasto;lookslikeadayonthecouch
glasto;uselesspricks
glasto;rollingstonesatglasto
glasto;yumyum
glasto;bast
glasto;glam
glasto;birthday
glasto;beadyeye
glasto;facebook
glasto;competition
glasto;mardystringsection
glasto;mumford
glasto;industrywanker
glasto;festivalscourfs
glasto;swish
glasto;sheffield
glasto;foodwaste
glasto;therollingstones
glasto;courteeners
glasto;liamfray
glasto;digi
glasto;festivalenvy
glasto;glastomap
glasto;chapatiman
glasto;winnebago
glasto;lovemusic
glasto;hatetents
glasto;barrier
glasto;music
glasto;sicknight
glasto;radio1roadshow2013
glasto;goodtimes
glasto;getlucky
glasto;ootd
glasto;greatset
glasto;winner
glasto;glastonburyfestival
glasto;priorities
glasto;randomq
glasto;am
glasto;soclean
glasto;sofresh
glasto;nakedlunch
glasto;johnnymarr
glasto;goodwork
glasto;notglasto
glasto;day1highlights
glasto;whatsnottolikeaboutthat
glasto;block9
glasto;fun
glasto;littlebootsdisco
glasto;lbdsoundsystem
glasto;glasto2013
glasto;happy
glasto;cunts
glasto;hmmm
glasto;selfie
glasto;iplayer
glasto;firstworldproblems
glasto;thatssoglasto
glasto;monkeys
glasto;bucksfizz
glasto;billyjoel
glasto;festivalfashion
glasto;woolfest
glasto;sowanttobethere
glasto;bbc3
glasto;6music
glasto;lookout
glasto;futureboogie
glasto;crazyp
glasto;williamsgreen
glasto;kidfriendly
glasto;cavan
glasto;fgw
glasto;vibez
glasto;baby
glasto;news
glasto;scottishvulgarity
glasto;splat
glasto;f1
glasto;bestseat
glasto;theotherstage
glasto;bumshots
glasto;saveukjustice
glasto;glastfest13
glasto;infinitemonkeycage
glasto;badgercull
glasto;swoons
glasto;insane
glasto;amsterdam
glasto;siliconbury
glasto;chocolate
glasto;leopardprint
glasto;glamping
glasto;celebs
glasto;northstreetsummerfair
glasto;originallounge
glasto;goodtimesunshine
glasto;whoop
glasto;ad
glasto;firstworldproblema
glasto;alexturnerquiffwatch
glasto;rythemofnight
glasto;cool
glasto;lovemeabitofalexturner
glasto;billybragg
glasto;sadface
glasto;beauty
glasto;bbloggers
glasto;thingsnotheardatglasto
glasto;mojitoworldtour
glasto;acne
glasto;standardglitterskirt
glasto;mudfest
glasto;glitter
glasto;sadferit
glasto;jizzzz
glasto;ledon
glasto;wimbo
glasto;healingfields
